v;p;cat
Estatus socioeconómico de la escuela;Promedio de los ingresos de las familias dentro de la escuela ;(min) $212.250
Estatus socioeconómico de la escuela;Promedio de los ingresos de las familias dentro de la escuela ;(max) $1.450.929
Estatus socioeconómico de la escuela;Proporción de padres con educación universitaria;(min) 0,00%
Estatus socioeconómico de la escuela;Proporción de padres con educación universitaria;(max) 83,3%
