RBD|NOM_RBD|COD_REG_RBD|COD_PRO_RBD|COD_COM_RBD|NOM_REGI_N|NOM_PROVINCIA|COD_DEPROV|NOM_DEPROV|NOM_COMUNA|grado|ind_am_rbd|dim_am_aa_rbd|dim_am_me_rbd|ind_cc_rbd|dim_cc_ao_rbd|dim_cc_ar_rbd|dim_cc_as_rbd|ind_hv_rbd|dim_hv_ac_rbd|dim_hv_ha_rbd|dim_hv_va_rbd|ind_pf_rbd|dim_pf_pa_rbd|dim_pf_sp_rbd|dim_pf_vd_rbd|cod_depe2|cod_grupo|cod_rural_rbd
3531|INSTITUTO REGIONAL DEL MAULE|7|74|7406|REGIÓN DEL MAULE|LINARES|73|LINARES|SAN JAVIER|2m|78.721108085|77.289085136|80.153131035|80.903187877|85.458878925|73.839195783|83.411488924|75.016664362|76.09237415|80.433111016|68.524507918|80.405852598|80.348914654|81.19854188|79.670101261|2|3|1
3533|LICEO SAGRADOS CORAZONES|7|74|7406|REGIÓN DEL MAULE|LINARES|73|LINARES|SAN JAVIER|2m|75.972921923|74.309017512|77.636826334|77.362540574|83.660901765|72.281058264|76.145661692|72.165711586|71.50505878|79.506283187|65.48579279|78.367210684|80.040180621|76.677599361|78.383852068|2|2|1
3538|LICEO ANTONIO VARAS|7|72|7201|REGIÓN DEL MAULE|CAUQUENES|74|CAUQUENES|CAUQUENES|2m|73.753833455|69.825686178|77.681980731|72.425812673|79.487024842|66.890056728|70.900356451|67.604209438|67.162572772|70.339239683|65.310815858|77.383631446|76.017755011|81.556227491|74.576911835|1|1|1
3539|LICEO CLAUDINA URRUTIA DE LAVIN|7|72|7201|REGIÓN DEL MAULE|CAUQUENES|74|CAUQUENES|CAUQUENES|2m|73.580002876|71.140648673|76.019357079|76.891135708|82.187701332|70.522905574|77.962800219|71.948497916|68.121758574|81.918969544|65.804765631|80.375559417|78.09124871|83.188504401|79.84692514|1|2|1
3540|LICEO POLITECNICO PEDRO AGUIRRE CERDA|7|72|7201|REGIÓN DEL MAULE|CAUQUENES|74|CAUQUENES|CAUQUENES|2m|76.533672344|71.817362937|81.24998175|72.521069147|78.545134615|66.337469904|72.680602921|66.647988139|66.686503614|71.555565754|61.70189505|75.042038428|71.642128274|77.471617378|76.01236963|1|1|1
3608|LICEO INMACULADA CONCEPCION|7|72|7201|REGIÓN DEL MAULE|CAUQUENES|74|CAUQUENES|CAUQUENES|2m|75.924435608|73.248235687|78.600635528|77.048169127|85.546082375|66.666520921|78.931904085|69.751568754|66.417637223|77.434120391|65.402948648|78.388169814|80.692164037|75.04818414|79.424161265|2|3|1
3609|LICEO PELLUHUE|7|72|7203|REGIÓN DEL MAULE|CAUQUENES|74|CAUQUENES|PELLUHUE|2m|73.455948416|69.653254913|77.258641919|74.327487734|80.030582375|68.549037472|74.402843356|72.765545013|77.018644882|73.313808176|67.96418198|75.708999867|74.282619282|76.782722517|76.061657803|1|1|1
3618|LICEO FEDERICO ALBERT FAUPP|7|72|7202|REGIÓN DEL MAULE|CAUQUENES|74|CAUQUENES|CHANCO|2m|80.654216267|76.319538056|84.988894479|84.392377581|89.055461389|78.529978327|85.591693027|77.785583199|75.511723817|83.846441942|73.998583838|86.59318437|85.510835488|84.745581622|89.523136|1|1|1
3638|LICEO BICENTENARIO MARTA BRUNET CÁRAVES|8|84|8401||||||2m|71.90572811|69.49812761|74.313328609|75.915630436|80.800243896|69.835111439|77.111535972|68.393550274|77.28252805|66.972137801|60.925984971|76.92964569|73.218797384|78.58219267|78.987947015|1|2|1
3639|LICEO NARCISO TONDREAU|8|84|8401||||||2m|68.927108013|66.894241855|70.959974171|72.605934065|79.939911519|66.666442044|71.211448632|67.977866684|71.689975726|64.923275412|67.320348913|77.660317261|79.219477534|74.636431241|79.125043008|1|2|1
3640|INSTITUTO SUPERIOR DE COMERCIO PROFESOR|8|84|8401||||||2m|73.759843064|71.578853529|75.940832598|76.317466966|81.69362038|69.666124841|77.592655678|66.543437012|70.245899477|65.866522662|63.517888895|78.654667222|75.847848902|81.185283681|78.930869082|2|1|1
3641|INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁ|8|84|8401||||||2m|71.881730558|68.606222428|75.157238689|72.211061306|77.509746481|68.421534271|70.701903165|63.676407604|68.454864272|60.858804198|61.715554343|74.601243819|76.080009664|72.941448788|74.782273004|2|1|1
3642|INSTITUTO TÉCNICO MABEL CONDEMARÍN GRIM|8|84|8401||||||2m|78.803668304|74.329268715|83.278067893|79.064721061|85.582653185|72.395411824|79.216098176|71.134671193|73.544260313|76.715325396|63.144427871|78.059757313|66.608796049|83.530456696|84.040019194|2|1|1
3643|LICEO MARTIN RUIZ DE GAMBOA|8|84|8401||||||2m|78.400969592|74.033282483|82.768656701|78.868568895|84.976625245|74.432447442|77.196633998|73.577752674|73.974551316|72.361738505|74.396968201|82.983886493|76.694924157|85.165335036|87.091400286|1|1|1
3656|LICEO POLIVALENTE JUAN PACHECO ALTAMIRA|8|84|8406||||||2m|75.320315063|71.358130715|79.282499411|77.235134766|81.693580059|69.486488302|80.525335936|69.210375773|69.006254891|71.304835333|67.320037097|80.459303644|81.432518328|75.7701568|84.175235804|1|1|1
3657|LICEO LIBERTADOR BERNARDO O'HIGGINS RIQ|8|84|8401||||||2m|74.587757106|69.322472805|79.853041406|73.659149698|80.925686453|68.885734672|71.166027968|69.457024155|75.495537256|72.416523215|60.459011995|79.227741628|76.794030444|79.234695959|81.654498481|1|1|1
3662|ESCUELA REPUBLICA DE ITALIA|8|84|8401||||||2m|79.174916794|76.173338775|82.176494813|78.960176575|85.923076928|72.65554722|78.301905578|78.987669424|88.642570032|77.278894375|71.041543865|82.946763499|81.939872556|83.304189167|83.596228776|1|2|1
3711|COLEGIO DE LA PURISIMA CONCEPCION|8|84|8401||||||2m|73.137452066|70.517112211|75.75779192|82.275367582|88.873879925|73.44459762|84.507625201|68.133288846|74.880793207|71.75602973|57.763043601|80.855732539|79.149166812|81.430468722|81.987562084|2|3|1
3713|COLEGIO SEMINARIO PADRE ALBERTO HURTADO|8|84|8401||||||2m|74.484057493|73.945674199|75.022440787|73.75119909|78.232015798|68.46601647|74.555565001|76.858014498|88.139069669|75.638411043|66.796562782|78.958966769|77.977546605|81.162298471|77.737055231|2|5|1
3718|INSTITUTO SANTA MARIA|8|84|8401||||||2m|72.079528228|72.618351874|71.540704582|77.467266794|81.94672198|69.974840819|80.480237584|71.382054757|77.164236111|73.940840635|63.041087525|79.487786732|80.858179495|79.652272733|77.95290797|2|4|1
3719|COLEGIO COYAM|8|84|8401||||||2m|76.743883864|74.137696458|79.350071271|79.446206464|83.116237053|72.940433523|82.281948818|68.696232375|73.21357126|70.097827111|62.777298753|82.478108136|79.553020957|84.039362637|83.841940813|2|2|1
3720|DEUTSCHE SCHULE CHILLAN|8|84|8401||||||2m|66.908247409|67.964310704|65.852184114|75.959852624|78.107806517|73.009151907|76.762599449|72.430291905|89.028861855|73.57770585|54.684308009|75.08939468|81.077903898|72.372069353|71.818210788|3|5|1
3723|COLEGIO DARIO SALAS|8|84|8401||||||2m|79.113043026|77.021069178|81.205016874|81.332171156|86.058582129|75.143905258|82.794026082|70.573646664|74.822797104|67.652740756|69.245402132|84.936853852|84.981049805|84.093457785|85.736053966|2|2|1
3724|COLEGIO SAN VICENTE DE PAUL|8|84|8401||||||2m|74.619571993|72.454315687|76.784828298|77.949986541|81.515993825|72.636868332|79.697097467|74.25577834|76.398002407|75.789542913|70.579789701|79.219869901|77.512184605|79.449431981|80.697993116|2|3|1
3728|COLEGIO SAN BUENAVENTURA|8|84|8401||||||2m|67.82266858|67.398194368|68.247142791|73.158829474|76.586865256|67.333370516|75.556252651|62.379601516|69.71694524|61.622250945|55.799608365|76.465513074|80.513791107|74.815492191|74.067255924|2|3|1
3730|COLEGIO SAGRADO CORAZÓN DE JESÚS|8|84|8401||||||2m|79.043244923|78.178060203|79.908429643|84.092747632|86.459868379|77.502206777|88.316167739|70.873259605|80.582287279|66.386499888|65.650991647|84.750610689|82.633703763|84.177623697|87.440504606|2|2|1
3733|COLEGIO GABRIELA MISTRAL|8|84|8401||||||2m|75.916606036|73.942499062|77.890713009|78.372066783|84.147595882|69.756620964|81.211983503|74.207276952|76.593655317|78.665746597|67.362428941|76.51812586|77.133802768|78.280732115|74.139842698|2|1|1
3734|COLEGIO COMEWEALTH SCHOOL|8|84|8401||||||2m|70.795337642|69.497119162|72.093556121|73.443598291|80.692210357|68.186931589|71.451652928|63.641549526|67.529553079|69.415755583|53.979339916|72.817353373|77.234857803|68.957147795|72.260054521|2|2|1
3735|COLEGIO CHILLAN|8|84|8401||||||2m|76.937387874|74.28005919|79.594716557|83.939209392|91.020441209|75.178669253|85.618517715|81.070703424|88.288750388|84.097901334|70.82545855|81.113622316|76.429992861|86.608285539|80.302588549|2|3|1
3739|LICEO AGRÍCOLA DE CHILLÁN A-8|8|84|8401||||||2m|78.076596846|75.625315857|80.527877834|84.660211024|91.316059351|76.842263544|85.822310178|79.257183194|79.422528385|85.16481112|73.184210077|83.72830486|79.806494928|87.824905306|83.553514346|2|1|1
3742|LICEO POLITECNICO CAP. IGNACIO CARRERA|8|84|8416||||||2m|74.861331546|71.634533244|78.088129847|75.442401492|80.104899637|70.033270411|76.189034427|73.985592303|75.844429947|76.008175059|70.104171903|79.327810134|76.652334653|79.74396224|81.587133508|1|1|1
3743|LICEO DIEGO PORTALES PALAZUELOS|8|84|8416||||||2m|82.980145604|80.37808531|85.582205899|82.866666465|89.763896541|73.299748502|85.536354351|83.448705405|94.809288558|79.52407266|76.012754998|87.677619662|83.129814148|92.232199012|87.670845826|1|1|1
3795|INSTITUTO SANTA MARIA DE SAN CARLOS|8|84|8416||||||2m|73.744119136|76.404433976|71.083804296|74.560136877|80.727457879|68.651482338|74.301470413|68.221722336|70.653249412|70.076337332|63.935580264|77.134511993|79.914202724|75.111938462|76.377394792|2|3|1
3796|LICEO POLIVALENTE NUESTRA SEÑORA DE LA|8|84|8416||||||2m|78.018382426|74.438643676|81.598121175|83.401975335|90.380572099|74.616553026|85.20880088|78.779865811|91.771769237|77.074214646|67.493613549|82.521813805|79.041386737|85.820462274|82.703592406|2|1|1
3797|COLEGIO SAGRADO CORAZON DE JESUS|8|84|8416||||||2m|73.361190138|69.963816352|76.758563923|78.377072937|84.435094139|71.803863196|78.892261477|75.644828329|85.922577588|75.359468208|65.65243919|81.482306095|77.580982072|82.334964535|84.530971679|2|2|1
